MER opacity measurements for Pancam 440-nm solar filter images.
Flux_1AU = 3660.55 DN ms-1 in the current best fit.
Abs_Err = 0.0300000 (absolute error in tau derivation at AM=1).
The date of the current best fit is 2018-Dec-07 21:12:25 UTC.
N_ENTRIES = 8697

Comments or questions to Mark Lemmon, lemmon@tamu.edu.

  Product_ID,                    L_s,  R_au,     Sol,     AM,    Flux,    TAU, Rel_err
"1P173653818ETH55XKP2688L8M1", 242.1, 1.383, 511.721,  4.879,   5.676,  1.182,   0.027
"1P173653847ETH55XKP2688L8M1", 242.1, 1.383, 511.722,  4.919,   5.443,  1.181,   0.027
"1P173653878ETH55XKP2688L8M1", 242.1, 1.383, 511.722,  4.962,   5.149,  1.182,   0.027
"1P173653909ETH55XKP2688L8M1", 242.1, 1.383, 511.722,  5.007,   4.859,  1.183,   0.027
"1P173653936ETH55XKP2688L8M1", 242.1, 1.383, 511.723,  5.046,   4.624,  1.184,   0.028
"1P173653967ETH55XKP2688L8M1", 242.1, 1.383, 511.723,  5.092,   4.364,  1.184,   0.028
"1P173653997ETH55XKP2688L8M1", 242.1, 1.383, 511.723,  5.138,   4.129,  1.185,   0.028
"1P173718373ESF55XKP2600L8M1", 242.5, 1.383, 512.448,  1.122, 478.520,  1.198,   0.032
"1P173722804ESF55XKP2600L8M1", 242.6, 1.383, 512.498,  1.065, 527.301,  1.171,   0.035
"1P173727782ESF55XKP2619L8M1", 242.6, 1.383, 512.554,  1.128, 500.356,  1.153,   0.033
"1P173807150ESF55XKP2600L8M1", 243.2, 1.382, 513.448,  1.124, 489.746,  1.177,   0.032
"1P173812294ESF55XKP2600L8M1", 243.2, 1.382, 513.506,  1.066, 538.302,  1.151,   0.035
"1P173813859ESF55XKP2619L8M1", 243.2, 1.382, 513.523,  1.077, 536.349,  1.144,   0.035
"1P173900378ESF55XKP2600L8M1", 243.9, 1.382, 514.497,  1.067, 541.362,  1.146,   0.034
"1P173984711ESF55Z0P2600L8M1", 244.5, 1.382, 515.447,  1.128, 483.599,  1.184,   0.032
"1P173989138ESF55Z0P2600L8M1", 244.5, 1.382, 515.497,  1.068, 544.418,  1.139,   0.034
"1P174073335ESF5600P2600L8M1", 245.1, 1.382, 516.445,  1.134, 502.972,  1.143,   0.032
"1P174077919ESF5600P2600L8M1", 245.2, 1.382, 516.497,  1.069, 550.764,  1.127,   0.034
"1P174161633ESF5676P2600L8M1", 245.8, 1.382, 517.439,  1.150, 496.583,  1.138,   0.031
"1P174166700ESF5676P2600L8M1", 245.8, 1.382, 517.496,  1.070, 559.220,  1.112,   0.034
"1P174186892ETH5676P2625L8M1", 246.0, 1.382, 517.723,  5.174,   5.295,  1.128,   0.027
"1P174186913ETH5676P2625L8M1", 246.0, 1.382, 517.724,  5.207,   5.102,  1.128,   0.028
"1P174250100ESF5676P2600L8M1", 246.4, 1.382, 518.435,  1.162, 497.531,  1.124,   0.031
"1P174255467ESF5676P2600L8M1", 246.5, 1.382, 518.496,  1.071, 561.059,  1.108,   0.034
"1P174271662ESF5676P2618L8M1", 246.6, 1.382, 518.678,  2.343, 154.814,  1.056,   0.017
"1P174338875ESF5676P2600L8M1", 247.1, 1.382, 519.435,  1.165, 497.175,  1.122,   0.031
"1P174344242ESF5676P2600L8M1", 247.1, 1.382, 519.495,  1.072, 571.779,  1.089,   0.034
"1P174427651ESF56ASP2600L8M1", 247.7, 1.382, 520.434,  1.167, 505.788,  1.105,   0.031
"1P174433022ESF56ASP2600L8M1", 247.8, 1.382, 520.495,  1.072, 565.793,  1.098,   0.034
"1P174450813ESF56CUP2600L8M1", 247.9, 1.381, 520.695,  2.951,  82.821,  1.051,   0.016
"1P174521800ESF56CUP2600L8M1", 248.4, 1.381, 521.494,  1.073, 563.065,  1.103,   0.034
"1P174607052ESF56F7P2600L8M1", 249.1, 1.381, 522.454,  1.118, 508.961,  1.149,   0.032
"1P174610572ESF56F7P2600L8M1", 249.1, 1.381, 522.494,  1.074, 544.879,  1.132,   0.034
"1P174628675ETH56HGP2600L8M1", 249.2, 1.381, 522.698,  3.070,  62.969,  1.095,   0.017
"1P174700251ESF56HGP2600L8M1", 249.7, 1.381, 523.504,  1.075, 554.832,  1.114,   0.034
"1P174784291ESF56L3P2600L8M1", 250.4, 1.381, 524.450,  1.129, 444.518,  1.256,   0.032
"1P174788899ESF56L3P2600L8M1", 250.4, 1.381, 524.502,  1.075, 527.804,  1.159,   0.034
"1P174806530ETH56LBP2600L8M1", 250.5, 1.381, 524.700,  3.201,  49.784,  1.124,   0.017
"1P174872434ESF56LBP2619L8M1", 251.0, 1.381, 525.442,  1.148, 504.583,  1.125,   0.031
"1P174876880ESF56LBP2600L8M1", 251.0, 1.381, 525.492,  1.077, 563.290,  1.096,   0.034
"1P174961213ESF5700P2600L8M1", 251.7, 1.381, 526.442,  1.150, 505.943,  1.120,   0.031
"1P174966449ESF5700P2600L8M1", 251.7, 1.381, 526.501,  1.077, 560.536,  1.099,   0.034
"1P174984387ETH5700P2600L8M1", 251.8, 1.381, 526.703,  3.343,  50.931,  1.069,   0.017
"1P175054936ESF5700P2600L8M1", 252.3, 1.381, 527.497,  1.077, 574.878,  1.075,   0.034
"1P175140921ESF5702P2600L8M1", 253.0, 1.381, 528.465,  1.103, 543.441,  1.101,   0.033
"1P175143693ESF5702P2600L8M1", 253.0, 1.381, 528.496,  1.078, 559.350,  1.100,   0.034
"1P175225376ESF5702P2600L8M1", 253.6, 1.381, 529.416,  1.242, 449.407,  1.133,   0.029
"1P175232491ESF5702P2600L8M1", 253.7, 1.381, 529.496,  1.079, 552.033,  1.111,   0.034
"1P175314155ESF57BHP2600L8M1", 254.2, 1.382, 530.416,  1.244, 469.581,  1.093,   0.029
"1P175320003ESF57BHP2600L8M1", 254.3, 1.382, 530.482,  1.086, 574.419,  1.063,   0.034
"1P175321215ESF57BHP2600L8M1", 254.3, 1.382, 530.495,  1.080, 579.560,  1.062,   0.034
"1P175410014ESF57BHP2600L8M1", 255.0, 1.382, 531.495,  1.080, 590.281,  1.045,   0.034
"1P175497573ESF57BHP2600L8M1", 255.6, 1.382, 532.481,  1.088, 587.073,  1.041,   0.033
"1P175498765ESF57BHP2600L8M1", 255.6, 1.382, 532.494,  1.081, 591.494,  1.042,   0.034
"1P175509162ESF57GMP2600L8M1", 255.7, 1.382, 532.611,  1.399, 446.235,  1.012,   0.027
"1P175586350ESF57GMP2600L8M1", 256.2, 1.382, 533.480,  1.089, 597.162,  1.032,   0.033
"1P175587540ESF57GMP2600L8M1", 256.3, 1.382, 533.494,  1.082, 603.825,  1.028,   0.034
"1P175603285ESF57GMP2600L8M1", 256.4, 1.382, 533.671,  2.186, 214.712,  0.982,   0.018
"1P175676766ESF57GMP2600L8M1", 256.9, 1.382, 534.498,  1.082, 602.259,  1.031,   0.034
"1P175689901ESF57GMP2600L8M1", 257.0, 1.382, 534.646,  1.745, 325.511,  0.991,   0.021
"1P175765142ESF57GMP2600L8M1", 257.6, 1.382, 535.493,  1.083, 585.101,  1.056,   0.034
"1P175781146ESF57KRP2600L8M1", 257.7, 1.382, 535.674,  2.249, 193.177,  1.001,   0.017
"1P175845876ESF57KRP2630L8M1", 258.2, 1.382, 536.402,  1.315, 452.768,  1.065,   0.028
"1P175854316ESF57KRP2600L8M1", 258.2, 1.382, 536.497,  1.083, 602.266,  1.030,   0.034
"1P175865673ESF57KRP2600L8M1", 258.3, 1.382, 536.625,  1.514, 405.349,  0.998,   0.024
"1P175940815ESF57KRP2600L8M1", 258.9, 1.382, 537.471,  1.100, 592.020,  1.029,   0.033
"1P175958943ESF57KRP2600L8M1", 259.0, 1.382, 537.675,  2.296, 196.171,  0.974,   0.017
"1P176031415ESF57KRP2600L8M1", 259.5, 1.383, 538.491,  1.085, 602.324,  1.026,   0.034
"1P176038636ESF57LRP2600L8M1", 259.6, 1.383, 538.573,  1.203, 554.395,  0.994,   0.031
"1P176120208ESF57LRP2600L8M1", 260.2, 1.383, 539.491,  1.085, 596.168,  1.034,   0.034
"1P176120682ESF57LRP2619L8M1", 260.2, 1.383, 539.496,  1.084, 600.140,  1.030,   0.034
"1P176136814ESF57LRP2600L8M1", 260.3, 1.383, 539.678,  2.368, 181.790,  0.976,   0.017
"1P176201285ESF57LRP2630L8M1", 260.8, 1.383, 540.404,  1.308, 460.130,  1.057,   0.028
"1P176209008ESF57LRP2600L8M1", 260.8, 1.383, 540.491,  1.086, 592.231,  1.040,   0.034
"1P176217805ESF57PYP2600L8M1", 260.9, 1.383, 540.590,  1.276, 514.055,  0.995,   0.029
"1P176297765ESF57PYP2600L8M1", 261.5, 1.383, 541.490,  1.087, 568.894,  1.076,   0.034
"1P176314597ESF5800P2600L8M1", 261.6, 1.383, 541.680,  2.416, 158.017,  1.014,   0.017
"1P176388698ESF5800P2600L8M1", 262.1, 1.384, 542.514,  1.089, 594.599,  1.030,   0.034
"1P176394806ESF5847F0006L8M1", 262.2, 1.384, 542.583,  1.244, 513.328,  1.020,   0.030
"1P176396902ESF5847P2618L8M1", 262.2, 1.384, 542.606,  1.370, 464.133,  1.001,   0.027
"1P176468227ESF5847P2600L8M1", 262.7, 1.384, 543.409,  1.281, 486.472,  1.034,   0.028
"1P176475313ESF5847P2600L8M1", 262.8, 1.384, 543.489,  1.088, 615.995,  1.001,   0.034
"1P176492462ESF5847P2600L8M1", 262.9, 1.384, 543.682,  2.494, 159.598,  0.978,   0.016
"1P176564115ESF5847P2600L8M1", 263.4, 1.384, 544.489,  1.088, 603.521,  1.020,   0.034
"1P176647382ESF5847P2600L8M1", 264.0, 1.384, 545.426,  1.209, 526.676,  1.030,   0.030
"1P176652844ESF5847P2600L8M1", 264.1, 1.384, 545.488,  1.089, 617.151,  0.998,   0.034
"1P176670313ESF5847P2600L8M1", 264.2, 1.384, 545.685,  2.572, 153.933,  0.963,   0.016
"1P176734674ESF5847P2630L8M1", 264.7, 1.385, 546.409,  1.283, 489.784,  1.026,   0.028
"1P176741620ESF5847P2600L8M1", 264.7, 1.385, 546.487,  1.089, 637.812,  0.966,   0.034
"1P176824872ESF5847P2600L8M1", 265.3, 1.385, 547.425,  1.215, 547.606,  0.991,   0.030
"1P176830440ESF5847P2600L8M1", 265.4, 1.385, 547.487,  1.090, 630.548,  0.977,   0.033
"1P176848113ESF5847P2600L8M1", 265.5, 1.385, 547.686,  2.635, 155.507,  0.935,   0.016
"1P176919188ESF5847P2600L8M1", 266.0, 1.385, 548.487,  1.090, 651.278,  0.946,   0.033
"1P177007984ESF58CXP2600L8M1", 266.7, 1.386, 549.486,  1.090, 623.739,  0.984,   0.033
"1P177024007ESF58D4P2600L8M1", 266.8, 1.386, 549.667,  2.102, 262.658,  0.922,   0.018
"1P177096741ESF58D4P2600L8M1", 267.3, 1.386, 550.486,  1.091, 640.944,  0.959,   0.033
"1P177097548ESF58D4P2600L8M1", 267.3, 1.386, 550.495,  1.087, 648.984,  0.951,   0.034
"1P177111415ESF58D4P2600L8M1", 267.4, 1.386, 550.651,  1.820, 343.314,  0.918,   0.020
"1P177186131ESF58D4P2600L8M1", 268.0, 1.387, 551.492,  1.088, 655.884,  0.939,   0.034
"1P177193531ESF58D4P2600L8M1", 268.0, 1.387, 551.576,  1.217, 605.406,  0.905,   0.030
"1P177274775ESF58D4P2600L8M1", 268.6, 1.387, 552.490,  1.089, 657.294,  0.936,   0.034
"1P177289283ESF58D4P2600L8M1", 268.7, 1.387, 552.654,  1.860, 338.782,  0.904,   0.020
"1P177363041ESF58D4P2600L8M1", 269.3, 1.387, 553.484,  1.092, 652.803,  0.939,   0.033
"1P177373316ESF58D4P2600L8M1", 269.3, 1.387, 553.600,  1.332, 549.278,  0.900,   0.028
"1P177381622ESF58D4P2600L8M1", 269.4, 1.387, 553.693,  2.895, 129.286,  0.914,   0.015
"1P177451842ESF58D4P2600L8M1", 269.9, 1.388, 554.484,  1.092, 658.792,  0.930,   0.033
"1P177467074ESF58DIP2600L8M1", 270.0, 1.388, 554.655,  1.888, 340.171,  0.888,   0.019
"1P177540615ESF58DIP2600L8M1", 270.5, 1.388, 555.483,  1.093, 654.128,  0.936,   0.033
"1P177559479ESF58DIP2600L8M1", 270.7, 1.388, 555.696,  3.004, 121.342,  0.901,   0.015
"1P177629367ESF58DIP2600L8M1", 271.2, 1.389, 556.482,  1.093, 654.593,  0.933,   0.033
"1P177644926ESF58DIP2600L8M1", 271.3, 1.389, 556.658,  1.928, 327.635,  0.888,   0.019
"1P177718206ESF58DIP2600L8M1", 271.8, 1.389, 557.483,  1.093, 671.505,  0.910,   0.033
"1P177737339ESF58DIP2600L8M1", 272.0, 1.389, 557.698,  3.124, 112.878,  0.889,   0.015
"1P177806941ESF58DIP2600L8M1", 272.5, 1.390, 558.482,  1.094, 686.178,  0.888,   0.033
"1P177822731ESF58DIP2600L8M1", 272.6, 1.390, 558.660,  1.961, 341.637,  0.851,   0.018
"1P177895692ESF58DIP2600L8M1", 273.1, 1.390, 559.481,  1.094, 677.069,  0.900,   0.033
"1P177915136ESF58DIP2600L8M1", 273.3, 1.390, 559.700,  3.216, 108.227,  0.876,   0.015
"1P177984467ESF58DIP2600L8M1", 273.8, 1.391, 560.481,  1.094, 679.120,  0.896,   0.033
"1P178000582ESF58DLP2600L8M1", 273.9, 1.391, 560.662,  2.006, 333.885,  0.843,   0.019
"1P178073272ESF58DLP2600L8M1", 274.4, 1.391, 561.480,  1.094, 695.311,  0.874,   0.033
"1P178093003ESF5900P2600L8M1", 274.6, 1.391, 561.703,  3.359, 104.303,  0.849,   0.015
"1P178343087ESF5900P2600L8M1", 276.4, 1.393, 564.518,  1.093, 699.955,  0.867,   0.034
"1P178356250ESF5900P2600L8M1", 276.5, 1.393, 564.667,  2.094, 310.910,  0.840,   0.018
"1P178421898ESF5900P2630L8M1", 276.9, 1.393, 565.406,  1.300, 574.123,  0.881,   0.028
"1P178697793ESF5900P2600L8M1", 278.9, 1.395, 568.512,  1.087, 729.895,  0.830,   0.034
"1P178706707ESF5927P2600L8M1", 279.0, 1.395, 568.612,  1.411, 575.038,  0.808,   0.026
"1P178786859ESF5927P2600L8M1", 279.6, 1.396, 569.515,  1.089, 731.182,  0.826,   0.034
"1P178795657ESF5927P2600L8M1", 279.6, 1.396, 569.614,  1.422, 589.564,  0.783,   0.026
"1P178875696ESF5927P2600L8M1", 280.2, 1.397, 570.515,  1.088, 738.632,  0.815,   0.034
"1P178880391ESF5984P2600L8M1", 280.2, 1.397, 570.568,  1.187, 691.792,  0.803,   0.032
"1P178964410ESF5984P2600L8M1", 280.8, 1.397, 571.514,  1.087, 730.885,  0.826,   0.034
"1P178971823ESF5984P2600L8M1", 280.9, 1.397, 571.597,  1.314, 627.745,  0.799,   0.028
"1P178977967ESF5984P2618L8M1", 280.9, 1.397, 571.667,  2.091, 340.706,  0.794,   0.018
"1P179045852ESF5984P2600L8M1", 281.4, 1.398, 572.431,  1.190, 604.322,  0.913,   0.030
"1P179053185ESF5984P2600L8M1", 281.5, 1.398, 572.513,  1.087, 682.994,  0.887,   0.034
"1P179054265ESF5984P2619L8M1", 281.5, 1.398, 572.526,  1.097, 696.027,  0.862,   0.034
"1P179059632ESF5984P2600L8M1", 281.5, 1.398, 572.586,  1.257, 618.375,  0.846,   0.030
"1P179132714ESF5984P2630L8M1", 282.1, 1.398, 573.409,  1.280, 596.593,  0.859,   0.028
"1P179141980ESF5984P2600L8M1", 282.1, 1.399, 573.513,  1.086, 734.138,  0.820,   0.034
"1P179153078ESF5984P2600L8M1", 282.2, 1.399, 573.638,  1.646, 466.983,  0.816,   0.022
"1P179230737ESF5984P2600L8M1", 282.8, 1.399, 574.513,  1.085, 722.007,  0.836,   0.034
"1P179245419ESF5984P2600L8M1", 282.9, 1.399, 574.678,  2.362, 264.385,  0.809,   0.016
"1P179309648ESF5984P2630L8M1", 283.3, 1.400, 575.401,  1.320, 531.942,  0.917,   0.028
"1P179319530ESF5984P2600L8M1", 283.4, 1.400, 575.512,  1.084, 692.669,  0.873,   0.034
"1P179330932ESF59BJP2600L8M1", 283.5, 1.400, 575.641,  1.675, 462.989,  0.806,   0.022
"1P179406580ESF59BJP2600L8M1", 284.0, 1.401, 576.493,  1.082, 729.414,  0.826,   0.034
"1P179421734ESF59BJP2600L8M1", 284.1, 1.401, 576.663,  2.018, 359.120,  0.794,   0.018
"1P179493195ESF59BJP2600L8M1", 284.6, 1.401, 577.468,  1.102, 712.804,  0.832,   0.033
"1P179508421ESF59EKP2600L8M1", 284.7, 1.402, 577.639,  1.655, 447.935,  0.834,   0.022
"1P179575990ESF59EKP2630L8M1", 285.2, 1.402, 578.400,  1.325, 550.586,  0.886,   0.028
"1P179581975ESF59EKP2600L8M1", 285.3, 1.402, 578.467,  1.102, 681.219,  0.872,   0.033
"1P179599191ESF59EKP2600L8M1", 285.4, 1.402, 578.661,  1.981, 338.971,  0.837,   0.019
"1P179670758ESF59EKP2600L8M1", 285.9, 1.403, 579.467,  1.102, 682.931,  0.868,   0.033
"1P179686512ESF6000P2600L8M1", 286.0, 1.403, 579.645,  1.718, 396.135,  0.874,   0.022
"1P179759509ESF6000P2600L8M1", 286.5, 1.404, 580.466,  1.102, 719.580,  0.819,   0.033
"1P179778940ESF6000P2600L8M1", 286.7, 1.404, 580.685,  2.577, 231.754,  0.790,   0.015
"1P179849096ESF6000P2600L8M1", 287.2, 1.404, 581.475,  1.091, 735.201,  0.808,   0.033
"1P179864311ESF60C5P2600L8M1", 287.3, 1.405, 581.646,  1.743, 430.229,  0.812,   0.021
"1P179937541ESF60C5P2600L8M1", 287.8, 1.405, 582.471,  1.095, 744.488,  0.792,   0.033
"1P179956780ESF60I0P2600L8M1", 287.9, 1.405, 582.688,  2.660, 210.087,  0.802,   0.015
"1P180027088ESF60I0P2600L8M1", 288.4, 1.406, 583.479,  1.085, 751.560,  0.788,   0.034
"1P180041234ESF60I0P2600L8M1", 288.5, 1.406, 583.639,  1.642, 506.598,  0.762,   0.022
"1P180115863ESF60I0P2600L8M1", 289.1, 1.407, 584.479,  1.085, 749.137,  0.790,   0.034
"1P180133811ESF60I0P2600L8M1", 289.2, 1.407, 584.681,  2.440, 252.941,  0.797,   0.016
"1P180205841ESF60I0P2600L8M1", 289.7, 1.408, 585.492,  1.076, 761.429,  0.780,   0.034
"1P180220021ESF60I0P2600L8M1", 289.8, 1.408, 585.652,  1.814, 454.604,  0.748,   0.020
"1P180295105ESF60I0P2600L8M1", 290.3, 1.409, 586.497,  1.074, 778.333,  0.760,   0.034
"1P180312451ESF60I0P2600L8M1", 290.5, 1.409, 586.693,  2.842, 190.160,  0.783,   0.015
"1P180380965ESF60I0P2600L8M1", 290.9, 1.409, 587.464,  1.101, 751.940,  0.773,   0.033
"1P180397822ESF60L9P2600L8M1", 291.1, 1.410, 587.654,  1.844, 425.610,  0.770,   0.020
"1P180470226ESF60L9P2600L8M1", 291.6, 1.410, 588.469,  1.093, 758.248,  0.770,   0.033
"1P180490294ESF60OUP2600L8M1", 291.7, 1.411, 588.695,  2.950, 137.562,  0.864,   0.015
"1P180558967ESF60OUP2600L8M1", 292.2, 1.411, 589.468,  1.093, 763.557,  0.762,   0.033
"1P180571116ESF60UPP2600L8M1", 292.3, 1.411, 589.605,  1.347, 647.379,  0.741,   0.028
"1P180647783ESF60UPP2600L8M1", 292.8, 1.412, 590.468,  1.092, 790.224,  0.730,   0.033
"1P180654727ESF6100P2600L8M1", 292.9, 1.412, 590.547,  1.117, 750.881,  0.759,   0.033
"1P180731280ESF6100P2630L8M1", 293.4, 1.413, 591.409,  1.267, 621.918,  0.817,   0.029
"1P180736828ESF6100P2600L8M1", 293.4, 1.413, 591.471,  1.088, 751.906,  0.778,   0.033
"1P180738425ESF6114F0006L8M1", 293.5, 1.413, 591.489,  1.073, 770.681,  0.765,   0.034
"1P180753544ESF6200P2600L8M1", 293.6, 1.413, 591.659,  1.931, 398.542,  0.767,   0.019
"1P180824850ESF6200P2600L8M1", 294.1, 1.414, 592.462,  1.099, 759.418,  0.759,   0.033
"1P180843488ESF6200P2600L8M1", 294.2, 1.414, 592.672,  2.193, 355.597,  0.727,   0.017
"1P180913602ESF6200P2600L8M1", 294.7, 1.415, 593.462,  1.099, 742.699,  0.778,   0.033
"1P180931395ESF6200P2600L8M1", 294.8, 1.415, 593.662,  1.978, 409.432,  0.734,   0.019
"1P181002378ESF6200P2600L8M1", 295.3, 1.416, 594.461,  1.099, 718.844,  0.806,   0.033
"1P181087337ESF6200P2600L8M1", 295.9, 1.417, 595.418,  1.221, 707.617,  0.738,   0.030
"1P181092234ESF6200P2600L8M1", 295.9, 1.417, 595.473,  1.082, 792.463,  0.728,   0.034
"1P181109203ESF6200P2600L8M1", 296.1, 1.417, 595.664,  2.018, 395.600,  0.735,   0.018
"1P181357473ESF6247P2600L8M1", 297.8, 1.420, 598.460,  1.098, 563.178,  1.024,   0.033
"1P181441172ESF6247P2600L8M1", 298.4, 1.421, 599.403,  1.291, 610.415,  0.807,   0.028
"1P181448405ESF6247P2600L8M1", 298.4, 1.421, 599.484,  1.069, 782.160,  0.744,   0.034
"1P181464847ESF6247P2600L8M1", 298.5, 1.421, 599.669,  2.113, 365.373,  0.736,   0.018
"1P181535014ESF6247P2600L8M1", 299.0, 1.422, 600.459,  1.097, 745.398,  0.767,   0.033
"1P181549372ESF62EIP2600L8M1", 299.1, 1.422, 600.621,  1.450, 576.798,  0.757,   0.026
"1P181623804ESF62EIP2600L8M1", 299.6, 1.423, 601.459,  1.097, 783.319,  0.721,   0.033
"1P181642723ESF62EIP2600L8M1", 299.8, 1.423, 601.672,  2.180, 368.517,  0.708,   0.017
"1P181712589ESF62EIP2600L8M1", 300.2, 1.424, 602.459,  1.096, 806.237,  0.694,   0.033
"1P181719481ESF62FSP2600L8M1", 300.3, 1.424, 602.537,  1.089, 792.281,  0.714,   0.034
"1P181801336ESF62FSP2600L8M1", 300.9, 1.425, 603.458,  1.096, 774.074,  0.730,   0.033
"1P181820570ESF62FSP2600L8M1", 301.0, 1.425, 603.675,  2.244, 349.249,  0.711,   0.017
"1P181890897ESF62FSP2600L8M1", 301.5, 1.426, 604.467,  1.081, 771.388,  0.741,   0.034
"1P181905455ESF62GMP2600L8M1", 301.6, 1.426, 604.631,  1.535, 556.206,  0.735,   0.024
"1P181974742ESF62GMP2600L8M1", 302.1, 1.427, 605.411,  1.241, 683.602,  0.742,   0.029
"1P181977910ESF62GMP2600L8M1", 302.1, 1.427, 605.447,  1.118, 714.351,  0.785,   0.032
"1P181978886ESF62GMP2600L8M1", 302.1, 1.427, 605.458,  1.095, 742.234,  0.766,   0.033
"1P181980294ESF62GMP2600L8M1", 302.1, 1.427, 605.474,  1.072, 766.009,  0.753,   0.034
"1P181982735ESF62GMP2600L8M1", 302.1, 1.427, 605.501,  1.058, 759.523,  0.771,   0.035
"1P181986750ESF62GMP2600L8M1", 302.1, 1.427, 605.546,  1.103, 738.132,  0.765,   0.034
"1P181998356ESF62GMP2600L8M1", 302.2, 1.427, 605.677,  2.296, 285.206,  0.782,   0.017
"1P182000327ESF62GMP2600L8M1", 302.2, 1.427, 605.699,  3.120, 149.213,  0.783,   0.014
"1P182000347ESF62GMP2618L8M1", 302.2, 1.427, 605.700,  3.132, 148.169,  0.782,   0.014
"1P182001516ETH62GMP2600L8M1", 302.2, 1.427, 605.712,  3.973,  70.455,  0.801,   0.016
"1P182068448ESF62GMP2600L8M1", 302.7, 1.428, 606.466,  1.080, 784.257,  0.724,   0.034
"1P182083805ESF62GMP2600L8M1", 302.8, 1.428, 606.639,  1.623, 556.241,  0.693,   0.023
"1P182156901ESF62GMP2600L8M1", 303.3, 1.429, 607.463,  1.085, 794.205,  0.708,   0.033
"1P182176219ESF62JLP2600L8M1", 303.4, 1.429, 607.680,  2.376, 292.040,  0.744,   0.016
"1P182245998ESF62JLP2600L8M1", 303.9, 1.430, 608.466,  1.079, 826.877,  0.674,   0.034
"1P182261601ESF62JLP2600L8M1", 304.0, 1.430, 608.642,  1.647, 551.217,  0.687,   0.022
"1P182688599ESF62JLP2600L8M1", 306.9, 1.435, 613.450,  1.102, 769.871,  0.718,   0.033
"1P182709739ESF62JLP2600L8M1", 307.1, 1.436, 613.688,  2.636, 279.271,  0.684,   0.015
"1P182777881ESF62JLP2600L8M1", 307.6, 1.436, 614.456,  1.090, 606.092,  0.944,   0.033
"1P182795122ESF62LAP2600L8M1", 307.7, 1.437, 614.650,  1.750, 361.895,  0.881,   0.021
"1P182866664ESF62LAP2600L8M1", 308.2, 1.438, 615.456,  1.089, 787.209,  0.702,   0.033
"1P182875906ESF62OUP2600L8M1", 308.2, 1.438, 615.560,  1.125, 744.002,  0.728,   0.033
"1P182878322ESF62OUP2600L8M1", 308.2, 1.438, 615.587,  1.222, 701.861,  0.718,   0.030
"1P182887586ESF62OUP2600L8M1", 308.3, 1.438, 615.691,  2.744, 234.303,  0.720,   0.015
"1P182950662ESF62OUP2600L8M1", 308.7, 1.439, 616.402,  1.277, 633.872,  0.766,   0.029
"1P182955422ESF62OUP2600L8M1", 308.8, 1.439, 616.455,  1.089, 727.261,  0.773,   0.033
"1P182963268ESF62WGF0006L8M1", 308.8, 1.439, 616.544,  1.087, 734.852,  0.764,   0.034
"1P182972975ESF6300P2600L8M1", 308.9, 1.439, 616.653,  1.791, 437.708,  0.753,   0.020
"1P183042207ESF6300P2619L8M1", 309.3, 1.440, 617.432,  1.146, 682.749,  0.788,   0.032
"1P183044200ESF6300P2600L8M1", 309.4, 1.440, 617.455,  1.089, 715.643,  0.786,   0.033
"1P183065451ESF63A7P2600L8M1", 309.5, 1.440, 617.694,  2.855, 207.253,  0.734,   0.014
"1P183130982ESF63A7P2619L8M1", 309.9, 1.441, 618.432,  1.145, 505.980,  1.049,   0.032
"1P183132989ESF63A7P2600L8M1", 310.0, 1.441, 618.455,  1.088, 563.713,  1.005,   0.033
"1P183141739ESF63DGP2600L8M1", 310.0, 1.441, 618.553,  1.105, 484.712,  1.126,   0.034
"1P183150862ESF63DGP2600L8M1", 310.1, 1.441, 618.656,  1.836, 287.804,  0.962,   0.020
"1P183219792ESF63DGP2619L8M1", 310.5, 1.442, 619.432,  1.144, 559.995,  0.960,   0.032
"1P183221762ESF63DGP2600L8M1", 310.6, 1.442, 619.455,  1.087, 585.200,  0.970,   0.033
"1P183227734ESF63DGP2600L8M1", 310.6, 1.442, 619.522,  1.054, 678.538,  0.860,   0.035
"1P183236375ESF63DGP2600L8M1", 310.7, 1.442, 619.619,  1.412, 525.479,  0.823,   0.026
"1P183305192ESF63DGP2630L8M1", 311.1, 1.443, 620.394,  1.317, 299.217,  1.309,   0.028
"1P183310570ESF63DGP2600L8M1", 311.2, 1.443, 620.455,  1.086, 424.452,  1.265,   0.033
"1P183328665ESF63IRP2600L8M1", 311.3, 1.444, 620.659,  1.874, 223.230,  1.076,   0.019
"1P183399320ESF63IRP2600L8M1", 311.8, 1.444, 621.454,  1.086, 592.528,  0.956,   0.033
"1P183400112ESF63IRP2619L8M1", 311.8, 1.445, 621.463,  1.070, 602.177,  0.954,   0.034
"1P183414168ESF63IRP2600L8M1", 311.9, 1.445, 621.621,  1.429, 433.142,  0.946,   0.026
"1P183576913ESF63IRP2600L8M1", 312.9, 1.447, 623.454,  1.084, 499.286,  1.112,   0.033
"1P183586807ESF63MWP2600L8M1", 313.0, 1.447, 623.566,  1.134, 486.151,  1.087,   0.033
"1P183660601ESF63MWP2630L8M1", 313.5, 1.448, 624.397,  1.295, 375.574,  1.149,   0.029
"1P183665655ESF63MWP2600L8M1", 313.5, 1.448, 624.454,  1.084, 472.967,  1.161,   0.033
"1P183684318ESF63TUP2600L8M1", 313.7, 1.448, 624.664,  1.969, 192.154,  1.096,   0.019
